address,name,latlng,type,date,day,time,registration,,,
"7650 GIRARD AVENUE, SUITE 400, LA JOLLA, CA",Trilogy Yoga,"32.843202181414, -117.273723328477",Exercise,,M-Sun,,https://www.trilogysanctuary.com/trilogy-signature-trainings,,,
"555 West C St ste 103, San Diego, CA 92101",The Handmade Chef Meal Prep Co.,"32.7168260618458, -117.16729279631",Food,,M-Fri,10-3pm,,,,
"1425 India St, San Diego, CA 92101",Choice Juicery,"32.7448871187092, -117.124139062163",Food,,M-Sun,8-6pm,,,,
"3925 Fourth Ave, San Diego, CA 92103",Starry Lane Bakery,"32.74944286325468, -117.16036082818968",Food,,Th-Sun,9-3pm,,,,
"2810 El Cajon Blvd, San Diego, CA 92104","El Tianguis Rolled Taquitos
","32.75651320724737, -117.13250068532967",Food,,M-Sun,11-9pm,,,,
"7007 Friars Rd, San Diego, CA 92108","Five03 Pupusas
","32.76909725874775, -117.16539379013246",Food,,,,,,,
"3017 Adams Ave, San Diego, CA 92116",An’s Dry Cleaning,"32.76355898273206, -117.1284276930761",Food,,M-Sun,11-11pm,,,,
"3275 Adams Ave # A, San Diego, CA 92116",Paleo Treats,"32.76377397522858, -117.12108622201544",Food,,M-Sun,10-6pm,,,,
"3415 Adams Ave, San Diego, CA 92116","Coco & Jules Cookies
","32.7637894441736, -117.11881690500056",Food,,M-Sun,10-10pm,,,,
"4143 Voltaire St, San Diego, CA 92107",Phatties Bake Shop,"32.74367824438907, -117.23235462044039",Food,,M-Sun,7-2pm,,,,
"4230 Voltaire St, San Diego, CA 92107",Peace Pies,"32.74518298827218, -117.23294929016609",Food,,M-Sun,11-8pm,,,,
"1861 Bacon St, San Diego, CA 92107",An's Electronics Repair,"32.74710612976169, -117.24889505697996",Food,,M-Sun,11-10pm / 11pm F-Sat,,,,
"5250 Murphy Canyon Rd Suite 118, San Diego, CA 92123",Chani's Donuts,"32.832894845500064, -117.11869447240822",Food,,M-Sat,7 AM–7 PM / M-Wed 7 AM–5:30 PM,,,,
"5646 La Jolla Blvd, La Jolla, CA 92037",Beach Break Market,"32.81525886810286, -117.26781182095594",Food,,M-Sun,9 AM–4 PM / 12pm   Monday,,,,
"7650 GIRARD AVENUE, SUITE 400, LA JOLLA, CA",Trilogy Yoga,"32.843202181414, -117.273723328477",Food,,M-Sun,8-8:30pm,,,,
"3705 Paseo Pl #1100, San Diego, CA 92130",Sweetfin Poke Del Mar,"32.95348257909505, -117.23221564827797",Food,,M-Sun,10:30 AM–8 PM,,,,
"2720 Via De La Valle E110, Del Mar, CA 92014",Nectarine Grove,"32.99258059010681, -117.19805537632156",Food,,M-Sun,8 AM–4 PM,,,,
"S Hwy 101 #118, Solana Beach, CA 92075",Choice Juicery,"32.993186988642876, -117.24819901484359",Food,,M-Sun,7 AM–6:30 PM,,,,
"124 Lomas Santa Fe Dr #104, Solana Beach, CA 92075",The Coop | Bakehouse & Pantry,"32.992814381575336, -117.26781950768954",Food,,W-Sun,8 AM–4 PM,,,,
"17135 Camino Del Sur #125, San Diego, CA 92127",Choice Juicery,"33.02181022721177, -117.12300520354256",Food,,M-Sun,8 AM–6 PM,,,,
"376 N El Camino Real, Encinitas, CA 92024",Healthy Creations Cafe,"33.05626543619466, -117.26234121491858",Food,,M-Sun,8:30 AM–6 PM,,,,
